id,route,warehouse,delivery_time,delay_minutes,delay_reason,date
1,G,WH3,9,79,Traffic,2024-08-13
2,G,WH1,7,85,Mechanical,2025-08-25
3,D,WH1,10,37,Mechanical,2024-02-28
4,C,WH1,8,15,None,2025-12-25
5,I,WH3,9,100,Weather,2024-02-25
6,A,WH3,3,36,Traffic,2024-11-08
7,A,WH1,6,73,None,2025-09-13
8,C,WH2,4,26,Traffic,2025-06-25
9,C,WH2,4,46,Weather,2024-06-01
10,E,WH1,5,36,Traffic,2024-01-21
11,H,WH2,3,55,Traffic,2025-08-09
12,A,WH2,6,43,Weather,2025-06-28
13,G,WH2,9,47,Mechanical,2025-02-26
14,B,WH3,5,78,Traffic,2025-11-10
15,I,WH1,6,100,Mechanical,2024-11-24
16,A,WH2,2,80,Traffic,2024-11-18
17,J,WH3,3,25,Traffic,2025-09-10
18,E,WH1,5,120,None,2025-10-19
19,D,WH4,6,56,Traffic,2025-12-25
20,C,WH4,7,2,Mechanical,2025-12-24
21,D,WH4,3,71,Traffic,2025-05-18
22,E,WH3,1,21,Traffic,2025-10-04
23,A,WH3,4,41,Weather,2024-07-04
24,G,WH4,5,41,Traffic,2025-04-22
25,I,WH2,5,101,None,2024-07-24
26,A,WH1,4,97,Weather,2025-05-03
27,A,WH2,2,16,Mechanical,2024-11-12
28,J,WH3,9,83,None,2024-10-26
29,F,WH4,2,45,Traffic,2025-03-20
30,E,WH3,10,120,Traffic,2024-12-21
31,F,WH2,4,40,Traffic,2024-02-09
32,I,WH4,10,48,None,2025-10-15
33,E,WH3,5,22,Mechanical,2025-06-20
34,G,WH4,1,9,Mechanical,2025-05-30
35,J,WH2,4,104,Traffic,2024-01-07
36,H,WH4,7,74,Traffic,2025-04-03
37,A,WH3,2,44,None,2025-01-08
38,A,WH2,6,75,Weather,2024-05-18
39,F,WH4,10,109,Traffic,2025-10-17
40,C,WH4,3,120,None,2024-04-21
41,C,WH3,5,88,Weather,2024-09-06
42,H,WH2,1,9,Mechanical,2024-10-14
43,H,WH2,3,6,Traffic,2024-12-31
44,D,WH1,5,40,None,2024-01-17
45,H,WH4,5,61,Weather,2025-01-04
46,E,WH1,3,68,Weather,2025-05-10
47,B,WH4,2,72,Traffic,2024-01-25
48,E,WH2,2,96,Traffic,2024-08-25
49,G,WH3,3,68,Weather,2024-09-03
50,I,WH2,8,35,Mechanical,2024-03-09
51,C,WH1,2,106,None,2024-05-27
52,G,WH3,5,52,None,2025-03-21
53,H,WH2,5,49,Mechanical,2025-08-10
54,D,WH3,1,28,Mechanical,2025-01-13
55,C,WH1,7,53,Weather,2024-12-26
56,A,WH2,8,77,Mechanical,2024-05-06
57,C,WH1,7,65,Mechanical,2025-05-28
58,H,WH1,8,21,None,2024-06-14
59,F,WH1,2,106,Weather,2024-04-06
60,C,WH4,2,43,Mechanical,2025-08-01
61,B,WH3,9,33,Mechanical,2025-05-17
62,H,WH1,4,43,None,2025-11-28
63,E,WH2,2,64,Mechanical,2025-07-24
64,F,WH1,9,6,None,2025-07-08
65,B,WH4,1,3,Traffic,2025-06-30
66,D,WH1,5,85,None,2025-10-22
67,H,WH1,8,34,Weather,2024-09-22
68,I,WH3,5,13,Traffic,2025-04-19
69,D,WH3,4,8,Traffic,2025-02-23
70,H,WH1,4,37,None,2024-04-10
71,A,WH4,3,29,None,2025-05-11
72,C,WH4,8,10,Mechanical,2024-03-28
73,B,WH3,7,104,Mechanical,2024-04-20
74,A,WH1,1,16,Mechanical,2025-05-30
75,A,WH2,9,83,Traffic,2025-01-13
76,B,WH3,4,43,None,2024-08-26
77,D,WH4,2,12,Traffic,2024-09-22
78,I,WH3,1,75,Mechanical,2025-01-28
79,A,WH4,8,111,Traffic,2024-12-17
80,J,WH4,2,118,Traffic,2025-03-01
81,E,WH1,2,84,None,2024-11-05
82,J,WH4,6,52,None,2025-08-25
83,F,WH3,4,75,Mechanical,2024-09-29
84,G,WH1,1,57,Mechanical,2025-06-12
85,E,WH4,10,111,Traffic,2024-12-20
86,A,WH2,4,91,Traffic,2025-04-03
87,F,WH4,6,101,Mechanical,2024-09-20
88,A,WH2,2,46,Weather,2025-10-24
89,G,WH1,2,53,None,2025-05-29
90,E,WH3,7,106,Traffic,2024-02-08
91,G,WH2,2,78,Mechanical,2025-12-08
92,A,WH4,7,27,Mechanical,2024-02-23
93,B,WH2,6,25,Mechanical,2024-05-13
94,A,WH3,10,16,None,2024-02-07
95,H,WH4,7,84,Weather,2025-06-19
96,C,WH2,3,106,Traffic,2024-04-27
97,I,WH4,4,78,None,2024-04-21
98,G,WH3,3,25,None,2024-09-10
99,G,WH4,8,102,Mechanical,2024-07-02
100,D,WH4,10,96,Traffic,2024-01-12
101,E,WH4,1,43,Weather,2024-04-17
102,F,WH3,9,105,Traffic,2024-10-24
103,A,WH3,1,75,None,2024-03-06
104,F,WH1,2,8,Traffic,2024-05-15
105,J,WH3,3,23,Traffic,2024-07-06
106,I,WH4,7,92,Weather,2025-08-28
107,G,WH2,2,52,None,2025-08-22
108,C,WH3,4,46,Mechanical,2025-04-16
109,C,WH4,9,53,Mechanical,2024-11-15
110,I,WH3,7,0,Mechanical,2025-05-23
111,J,WH3,3,59,Weather,2024-07-08
112,C,WH3,1,79,Weather,2025-06-22
113,D,WH1,2,75,Weather,2025-02-20
114,B,WH4,1,71,Weather,2024-12-09
115,C,WH4,10,84,Mechanical,2025-08-05
116,D,WH4,3,23,Weather,2025-04-13
117,G,WH3,10,43,Mechanical,2025-04-22
118,F,WH4,8,21,Weather,2025-05-27
119,I,WH3,6,49,Weather,2025-01-16
120,J,WH2,5,115,Mechanical,2024-11-27
121,H,WH4,1,17,Mechanical,2025-12-25
122,G,WH1,9,105,Weather,2024-06-03
123,B,WH1,4,12,Mechanical,2024-11-23
124,D,WH1,10,69,None,2024-11-28
125,I,WH2,6,31,Weather,2025-03-22
126,H,WH2,3,66,None,2025-06-16
127,H,WH2,1,19,Mechanical,2024-03-24
128,A,WH2,10,87,Mechanical,2025-10-25
129,F,WH2,5,1,Traffic,2025-07-16
130,J,WH2,1,64,Mechanical,2024-07-01
131,J,WH1,10,50,Mechanical,2024-05-06
132,C,WH4,9,110,Traffic,2025-06-19
133,A,WH4,5,32,Weather,2024-02-08
134,C,WH1,5,77,Weather,2024-11-10
135,J,WH4,1,82,Traffic,2025-12-09
136,J,WH2,9,119,Weather,2025-05-01
137,C,WH1,2,26,Weather,2024-06-29
138,A,WH2,5,96,None,2024-02-23
139,A,WH4,3,97,None,2024-03-27
140,F,WH4,2,76,None,2024-12-14
141,F,WH1,10,62,Mechanical,2025-03-29
142,B,WH3,7,73,Traffic,2024-09-02
143,C,WH3,9,31,None,2024-04-04
144,G,WH2,3,99,Weather,2025-06-28
145,I,WH4,1,79,Weather,2025-11-08
146,F,WH4,6,75,Mechanical,2025-07-31
147,J,WH4,8,99,None,2025-02-15
148,B,WH2,1,107,None,2025-06-12
149,G,WH2,1,106,None,2024-06-06
150,C,WH3,6,105,Weather,2025-01-31
